,permno,date,mkt,ret_1,ret,alpa,beta,stdvare
0,1.0,2015-02-28,0.04031,0.1258,0.0043,0.005081218301872983,1.099198566350737,0.08109003092325344
1,1.0,2015-03-31,0.148415,0.28350000000000003,0.1258,0.005027875410684786,1.0922853780806308,0.08115756465883264
2,1.0,2015-04-30,0.17834,-0.08259999999999999,0.28350000000000003,0.005763036004062673,1.107933103454935,0.08141324506604314
3,1.0,2015-05-31,0.067707,-0.0509,-0.08259999999999999,0.005467677698185559,1.090195907099564,0.08239071183931396
4,1.0,2015-06-30,-0.069175,-0.1499,-0.0509,0.0036250987477342324,1.099260740572359,0.07994421572206628
5,1.0,2015-07-31,-0.149457,-0.10439999999999999,-0.1499,0.0033302462162324575,1.1010553056001553,0.07985791785632658
6,1.0,2015-08-31,-0.13595,-0.0524,-0.10439999999999999,0.0040513750356704695,1.0949508656532323,0.07989459643429729
7,1.0,2015-09-30,-0.058022,0.08289999999999999,-0.0524,0.003984181174815419,1.0949503636785556,0.07988522079637457
8,1.0,2015-10-31,0.133979,0.0335,0.08289999999999999,0.003909656321669286,1.0910182774700077,0.07999237685700397
9,1.0,2015-11-30,0.031874,0.0213,0.0335,0.004591099766633112,1.0898916597147175,0.07961862552420214
10,1.0,2015-12-31,0.03995,-0.16820000000000002,0.0213,0.003972386527655764,1.0921022647003933,0.07956032389680576
11,1.0,2016-01-31,-0.24457,-0.044000000000000004,-0.16820000000000002,0.004955955327085326,1.0710675657924025,0.07997965388203465
12,1.0,2016-02-29,-0.018642,0.113,-0.044000000000000004,0.0047609004256636105,1.072176151182573,0.08001998069908677
13,1.0,2016-03-31,0.13521,-0.0066,0.113,0.005044311335896678,1.0733913623748594,0.07981009695400866
14,1.0,2016-04-30,-0.019588,-0.0019,-0.0066,0.004842625976578432,1.0725664684025107,0.07974955520819707
15,1.0,2016-05-31,-0.005593,0.0043,-0.0019,0.005599384883657892,1.0726184795073843,0.07930582245855
16,1.0,2016-06-30,0.019851,0.0575,0.0043,0.004656101035071886,1.0633014801101561,0.07870415109696635
17,1.0,2016-07-31,0.019821,0.0315,0.0575,0.005561681421969696,1.0817232421542773,0.07810892322012877
18,1.0,2016-08-31,0.041275,-0.0443,0.0315,0.006942443902382658,1.0864039702244654,0.07611499485067262
19,1.0,2016-09-30,-0.019371,0.0088,-0.0443,0.007214231085029839,1.0837130207014383,0.07597869034723402
20,1.0,2016-10-31,0.030238,0.0437,0.0088,0.006732946446875032,1.0826908130653494,0.07598634267828687
21,1.0,2016-11-30,0.044556,-0.0471,0.0437,0.006108163623797328,1.080232642529051,0.07573684579615167
22,2.0,2014-12-31,0.165543,-0.056100000000000004,0.2752,0.014692534314205882,0.8527668553478058,0.11676475605174699
