date,mkt,mkt_sq,mkt_3
1997-01-31,0.088162,0.0077725382,0.0006852425
1997-02-28,0.058004,0.003364464,0.0001951524
1997-03-31,0.205534,0.0422442252,0.0086826246
1997-04-30,0.123052,0.0151417947,0.0018632281
1997-05-31,-0.08692,0.0075550864,-0.000656688
1997-06-30,0.013935,0.0001941842,2.7059572E-6
1997-07-31,-0.070068,0.0049095246,-0.000344001
1997-08-31,-0.010383,0.0001078067,-1.119357E-6
1997-09-30,-0.112051,0.0125554266,-0.001406848
1997-10-31,0.141814,0.0201112106,0.0028520512
1997-11-30,-0.04811,0.0023145721,-0.000111354
1997-12-31,0.051044,0.0026054899,0.0001329946
1998-01-31,0.024513,0.0006008872,0.0000147295
1998-02-28,-0.022915,0.0005250972,-0.000012033
1998-03-31,0.021731,0.0004722364,0.0000102622
1998-04-30,0.08956,0.0080209936,0.0007183602
1998-05-31,0.054468,0.002966763,0.0001615936
1998-06-30,-0.061762,0.0038145446,-0.000235594
1998-07-31,-0.012984,0.0001685843,-2.188898E-6
1998-08-31,-0.121413,0.0147411166,-0.001789763
1998-09-30,0.073882,0.0054585499,0.0004032886
1998-10-31,-0.010053,0.0001010628,-1.015984E-6
1998-11-30,0.023326,0.0005441023,0.0000126917
1998-12-31,-0.083139,0.0069120933,-0.000574665
1999-01-31,-0.005931,0.0000351768,-2.086334E-7
1999-02-28,-0.043227,0.0018685735,-0.000080773
1999-03-31,0.064716,0.0041881607,0.000271041
1999-04-30,-0.035909,0.0012894563,-0.000046303
1999-05-31,0.115814,0.0134128826,0.0015533996
1999-06-30,0.363823,0.1323671753,0.0481582228
1999-07-31,-0.064251,0.004128191,-0.00026524
1999-08-31,0.007129,0.0000508226,3.6231461E-7
1999-09-30,-0.024507,0.000600593,-0.000014719
1999-10-31,-0.048001,0.002304096,-0.000110599
1999-11-30,-0.043764,0.0019152877,-0.000083821
1999-12-31,-0.048662,0.0023679902,-0.000115231
2000-01-31,0.160838,0.0258688622,0.0041606961
2000-02-29,0.122024,0.0148898566,0.0018169199
2000-03-31,0.055926,0.0031277175,0.0001749207
2000-04-30,0.013014,0.0001693642,2.2041056E-6
2000-05-31,0.027691,0.0007667915,0.0000212332
2000-06-30,0.023721,0.0005626858,0.0000133475
2000-07-31,0.043245,0.00187013,0.0000808738
2000-08-31,-0.004691,0.0000220055,-1.032277E-7
2000-09-30,-0.045222,0.0020450293,-0.00009248
2000-10-31,0.024222,0.0005867053,0.0000142112
2000-11-30,0.054174,0.0029348223,0.0001589911
2000-12-31,-0.002105,4.431025E-6,-9.327308E-9
2001-01-31,-0.010399,0.0001081392,-1.12454E-6
2001-02-28,-0.059406,0.0035290728,-0.000209648
2001-03-31,0.075913,0.0057627836,0.0004374702
2001-04-30,-0.005454,0.0000297461,-1.622353E-7
2001-05-31,0.035145,0.001235171,0.0000434101
2001-06-30,0.00281,7.8961E-6,2.2188041E-8
2001-07-31,-0.132502,0.01755678,-0.002326308
