,permno,bgndate,enddate,n_samp
0,1.0,1997-01-31,2017-11-30,249.0
1,2.0,1997-01-31,2017-11-30,245.0
2,4.0,1997-01-31,2017-11-30,242.0
3,5.0,1997-01-31,2017-11-30,235.0
4,6.0,1997-01-31,2017-09-30,249.0
5,7.0,1997-01-31,2017-09-30,230.0
6,8.0,1997-01-31,2017-11-30,246.0
7,9.0,1997-01-31,2017-11-30,248.0
8,10.0,1997-01-31,2017-11-30,213.0
9,11.0,1997-01-31,2017-11-30,246.0
10,12.0,1997-01-31,2017-11-30,251.0
11,14.0,1997-01-31,2017-11-30,248.0
12,16.0,1997-01-31,2017-11-30,249.0
13,17.0,1997-01-31,2017-11-30,202.0
14,18.0,1997-01-31,2017-11-30,247.0
15,19.0,1997-01-31,2017-08-31,243.0
16,20.0,1997-01-31,2017-11-30,235.0
17,21.0,1997-01-31,2017-11-30,251.0
18,22.0,1997-01-31,2017-11-30,245.0
19,23.0,1997-01-31,2017-11-30,241.0
20,25.0,1997-01-31,2017-11-30,250.0
21,26.0,1997-01-31,2017-11-30,251.0
22,27.0,1997-01-31,2017-11-30,250.0
23,28.0,1997-01-31,2017-11-30,247.0
24,30.0,1997-01-31,2017-11-30,215.0
25,31.0,1997-01-31,2017-07-31,247.0
26,32.0,1997-01-31,2017-11-30,240.0
27,33.0,1997-01-31,2017-07-31,213.0
28,34.0,1997-01-31,2017-09-30,228.0
29,35.0,1997-01-31,2017-08-31,215.0
30,36.0,1997-01-31,2017-11-30,246.0
31,37.0,1997-01-31,2017-11-30,240.0
32,38.0,1997-01-31,2017-11-30,168.0
33,39.0,1997-01-31,2017-11-30,251.0
34,40.0,1997-01-31,2017-11-30,247.0
35,42.0,1997-01-31,2017-11-30,244.0
36,43.0,1997-01-31,2017-11-30,248.0
37,45.0,1997-01-31,2017-11-30,245.0
38,46.0,1997-01-31,2017-11-30,251.0
39,48.0,1997-01-31,2017-11-30,246.0
40,49.0,1997-01-31,2017-11-30,249.0
41,50.0,1997-01-31,2017-11-30,244.0
42,55.0,1997-01-31,2017-11-30,251.0
43,56.0,1997-01-31,2017-10-31,249.0
44,58.0,1997-01-31,2017-11-30,232.0
45,59.0,1997-01-31,2017-11-30,247.0
46,60.0,1997-01-31,2017-11-30,251.0
47,61.0,1997-01-31,2017-11-30,243.0
48,62.0,1997-01-31,2017-11-30,250.0
49,63.0,1997-11-30,2017-11-30,241.0
50,65.0,1998-06-30,2017-11-30,230.0
51,66.0,1997-06-30,2017-11-30,238.0
52,68.0,1997-06-30,2017-11-30,222.0
53,69.0,1997-09-30,2017-11-30,242.0
54,70.0,2000-05-31,2017-11-30,203.0
55,78.0,1998-12-31,2017-11-30,228.0
56,88.0,1997-07-31,2017-11-30,242.0
57,89.0,1998-04-30,2017-11-30,236.0
58,90.0,1999-07-31,2017-11-30,220.0
59,96.0,2000-07-31,2017-11-30,209.0
60,99.0,2000-07-31,2017-11-30,204.0
61,100.0,2004-01-31,2017-11-30,159.0
62,150.0,2000-08-31,2017-11-30,197.0
63,151.0,2000-09-30,2017-11-30,207.0
64,153.0,2000-09-30,2017-11-30,195.0
65,156.0,2000-09-30,2017-11-30,128.0
66,157.0,2000-10-31,2017-11-30,204.0
67,158.0,2000-07-31,2017-11-30,207.0
68,159.0,2000-09-30,2017-11-30,202.0
69,301.0,2000-05-31,2017-11-30,202.0
70,400.0,1997-04-30,2017-11-30,240.0
71,401.0,1997-01-31,2017-11-30,248.0
72,402.0,1997-01-31,2017-11-30,251.0
73,403.0,1997-01-31,2017-11-30,169.0
74,404.0,1997-01-31,2017-11-30,251.0
75,407.0,1997-01-31,2017-11-30,246.0
76,408.0,1997-01-31,2017-11-30,236.0
77,409.0,1997-01-31,2017-11-30,228.0
78,410.0,1997-01-31,2017-11-30,251.0
79,411.0,1997-01-31,2017-11-30,244.0
80,413.0,1997-01-31,2017-11-30,248.0
81,415.0,1997-01-31,2017-11-30,233.0
82,416.0,1997-01-31,2017-11-30,248.0
83,417.0,1997-01-31,2017-11-30,251.0
84,418.0,1997-03-31,2017-11-30,249.0
85,419.0,1997-01-31,2017-11-30,251.0
86,420.0,1997-01-31,2017-11-30,250.0
87,421.0,1997-01-31,2017-11-30,248.0
88,422.0,1997-01-31,2017-11-30,251.0
89,423.0,1997-01-31,2017-11-30,247.0
90,425.0,1997-01-31,2017-11-30,251.0
91,426.0,1997-01-31,2017-11-30,242.0
92,428.0,1997-01-31,2017-11-30,247.0
93,429.0,1998-02-28,2017-11-30,231.0
94,430.0,1997-01-31,2017-11-30,247.0
95,488.0,2000-11-30,2017-11-30,205.0
96,498.0,1997-06-30,2017-11-30,186.0
97,501.0,1997-01-31,2017-11-30,248.0
98,502.0,1997-01-31,2017-11-30,237.0
99,503.0,1997-01-31,2017-05-31,244.0
100,504.0,1997-01-31,2017-07-31,236.0
101,505.0,1997-01-31,2017-11-30,238.0
102,506.0,1997-01-31,2017-11-30,216.0
103,507.0,1997-01-31,2017-11-30,251.0
104,509.0,1997-01-31,2017-07-31,241.0
105,510.0,1997-01-31,2017-11-30,247.0
106,511.0,1997-01-31,2017-04-30,235.0
107,513.0,1997-01-31,2017-11-30,243.0
108,514.0,1997-01-31,2017-11-30,248.0
109,516.0,1997-01-31,2017-11-30,247.0
110,517.0,1997-01-31,2017-11-30,208.0
111,518.0,1997-01-31,2017-11-30,238.0
112,519.0,1997-01-31,2017-11-30,245.0
113,520.0,1997-01-31,2017-11-30,223.0
